wavenumber,intensity
1532.0,0.0158820152
1534.0,0.0106954584
1536.0,0.0145537127
1538.0,0.020176433
1540.0,0.0218875408
1542.0,0.0156211853
1544.0,0.0120150093
1546.0,0.0144906407
1548.0,0.0188714266
1550.0,0.0165266991
1552.0,0.00913100224
1554.0,0.00340557098
1556.0,0.002329421
1558.0,0.00644851942
1560.0,0.0160826575
1562.0,0.0218587033
1564.0,0.0217553023
1566.0,0.0174876209
1568.0,0.0136995437
1570.0,0.0133194569
1572.0,0.0191182252
1574.0,0.025329886
1576.0,0.0276112203
1578.0,0.0240443945
1580.0,0.0208937414
1582.0,0.0183560848
1584.0,0.0145048862
1586.0,0.00849987287
1588.0,0.00302377949
1590.0,0.000958514225
1592.0,0.00675220462
1594.0,0.0110258944
1596.0,0.018237412
1598.0,0.0251362696
1600.0,0.0251451246
1602.0,0.0219227914
1604.0,0.0191989429
1606.0,0.0199360251
1608.0,0.0247866139
1610.0,0.0286929123
1612.0,0.0349467397
1614.0,0.0437602848
1616.0,0.0472223908
1618.0,0.0396210775
1620.0,0.0238481872
1622.0,0.0104507804
1624.0,0.00871012267
1626.0,0.0168395992
1628.0,0.0262162816
1630.0,0.0269500855
1632.0,0.01942675
1634.0,0.0115647791
1636.0,0.00798623543
1638.0,0.0070516346
1640.0,0.00703518372
1642.0,0.00841008406
1644.0,0.0121488813
1646.0,0.0167498011
1648.0,0.0162624717
1650.0,0.0103615168
1652.0,0.00445556641
1654.0,0.00247138715
1656.0,0.00384483347
1658.0,0.00507982913
1660.0,0.00629999675
1662.0,0.00978882331
1664.0,0.016874684
1666.0,0.0233333949
1668.0,0.026525842
1670.0,0.0262646787
1672.0,0.0236224905
1674.0,0.0168848876
1676.0,0.0069072484
1678.0,0.000503385032
1680.0,0.0030308126
1682.0,0.0101348646
1684.0,0.0145991556
1686.0,0.0120087983
1688.0,0.00891759433
1690.0,0.0104916804
1692.0,0.0119092586
1694.0,0.00926336087
1696.0,0.00872348528
1698.0,0.0165725108
1700.0,0.0284888037
1702.0,0.0340677612
1704.0,0.0356025919
1706.0,0.0341675393
1708.0,0.0301354639
1710.0,0.0255224817
1712.0,0.0205441248
1714.0,0.0148439463
1716.0,0.00948911346
1718.0,0.00782232266
1720.0,0.0120270671
1722.0,0.0193997808
1724.0,0.0214055851
1726.0,0.015612578
1728.0,0.00961618405
1730.0,0.0076970933
1732.0,0.00854054745
1734.0,0.0101940641
1736.0,0.011026334
1738.0,0.00802648626
1740.0,0.00383886718
1742.0,0.0035719038
1744.0,0.00596942892
1746.0,0.0105194934
1748.0,0.0125715844
1750.0,0.0105073629
1752.0,0.00905210339
1754.0,0.00913464371
1756.0,0.00520066032
1758.0,0.00185452704
1760.0,0.00376510015
1762.0,0.00962215103
1764.0,0.0131199118
1766.0,0.0108409943
1768.0,0.00820777472
1770.0,0.0108026443
1772.0,0.0174376648
1774.0,0.022641236
1776.0,0.0213627573
1778.0,0.0156070767
1780.0,0.0120071536
1782.0,0.0119289877
1784.0,0.012465436
1786.0,0.00987061206
1788.0,0.00320382114
1790.0,6.94394112e-06
1792.0,0.00323660369
1794.0,0.0115606794
1796.0,0.0179163087
1798.0,0.0222411044
1800.0,0.0258387811
1802.0,0.0274734683
1804.0,0.0276213773
1806.0,0.0228765868
1808.0,0.0141570214
1810.0,0.00930879731
1812.0,0.00813571177
1814.0,0.0127463639
1816.0,0.0173856802
1818.0,0.0143040121
1820.0,0.0066987332
1822.0,0.00175036781
1824.0,0.00336437835
1826.0,0.00936935563
1828.0,0.0161275268
1830.0,0.0215852857
1832.0,0.0264813062
1834.0,0.0268039461
1836.0,0.0180617981
1838.0,0.00985486433
1840.0,0.00787272491
1842.0,0.0129415449
1844.0,0.0183284581
1846.0,0.0150631852
1848.0,0.00876176916
1850.0,0.0115249865
1852.0,0.0175489299
1854.0,0.0239686295
1856.0,0.0215704795
1858.0,0.0121589061
1860.0,0.0120089352
1862.0,0.0224136114
1864.0,0.0310940556
1866.0,0.0315456018
1868.0,0.0246015079
1870.0,0.0194359366
1872.0,0.0240910538
1874.0,0.030490119
1876.0,0.0304995142
1878.0,0.0207745675
1880.0,0.00771549344
1882.0,0.00376655464
1884.0,0.00882267393
1886.0,0.0136209317
1888.0,0.0137646087
1890.0,0.012677866
1892.0,0.0118542966
1894.0,0.0137607763
1896.0,0.0180405732
1898.0,0.0231744535
1900.0,0.0272850152
1902.0,0.0259986334
1904.0,0.0192315578
1906.0,0.0126958545
1908.0,0.00926109031
1910.0,0.00634450931
1912.0,0.00527387252
1914.0,0.00629803538
1916.0,0.010408449
1918.0,0.0173554607
1920.0,0.0212208331
1922.0,0.0220327042
1924.0,0.0193040445
1926.0,0.0135440826
1928.0,0.0074242414
1930.0,0.00395804364
1932.0,0.00523693813
1934.0,0.0124786794
1936.0,0.016977584
1938.0,0.0184267256
1940.0,0.0161891691
1942.0,0.0143364668
